Year,Movie,Bond,Director,Composer,Writer,Cinematographer,Depicted_Film_Loc,Shooting_Loc,Bond_Car_MFG,Bond_Girl_Nat,US_Gross,US_Adj_2013,US_Adj_2020,World_Gross,World_Adj_2013,World_Adj_2020,Budget,Budget_Adj_2013,Budget_Adj_2020,Film_Length,Avg_User_IMDB,Avg_User_Rtn_Tom,Conquests,Martinis,BJB,Kills_Bond,Kills_Others,Top_100,Video_Game
1962,Dr. No,Sean Connery,Terence Young,Monty Norman,"Richard Maibaum, Johanna Harwood & Berkely Mather",Ted Moore,"Great Britain, Jamaic","England, Jamaica",Sunbeam,"Swiss, English, English",16067035,123517,141820.15,59567035,457928,525785.2449,1000,7688,8827.23,110,7.3,7.7,3,2,1,4,8,0,0
1963,From Russia with Love,Sean Connery,Terence Young,John Barry,Richard Maibaum & Johanna Harwood,Ted Moore,"United Kingdom, Great Britain, Turkey, Croatia, Serbia, Italy","England, Scotland, Italy, Switzerland, Turkey",Bently,"English, Italian, English, Israeli",24800000,188161,216043.3,78900000,598624,687330.031,2000,15174,17422.53,115,7.5,8,4,0,0,11,16,0,1
1964,Goldfinger,Sean Connery,Guy Hamilton,John Barry,Richard Maibaum & Paul Dehn,Ted Moore,"United States, Great Britain, Switzerland","England, Switzerland, United States",Aston Martin,"Serbian, English",51100000,382699,439408.57,124900000,935404,1074015.175,3000,22468,25797.38,110,7.8,8.4,2,1,2,9,68,1,1
1965,Thunderball,Sean Connery,Terence Young,John Barry,Richard Maibaum & John Hopkins,Ted Moore,"France, Great Britain, Bahamas, United States","England, France, Bahamas, United States",Aston Martin,"French, Italian, Bahamian",63600000,468754,538215.48,141200000,1040693,1194906.238,9000,66333,76162.44,130,7,6.8,3,0,0,20,90,1,0
1967,You Only Live Twice,Sean Connery,Lewis Gilbert,John Barry,Roald Dahl,Freddie Young,"United States, Russia, Kazakhstan, Norway, Japan","Japan, Spain, Norway",Toyota,"Japanese, Chinese, German",43100000,299591,343985.36,111600000,775740,890691.6499,9500,66035,75820.28,117,6.9,6.3,3,1,0,21,175,1,0
1969,On Her Majesty's Secret Service,George Lazenby,Peter R. Hunt,John Barry,Richard Maibaum,Michael Reed,"Portugal, Great Britain, Switzerland","England, Switzerland, Portugal",Mercury,"English, English, Hungarian",22800000,144234,165607.06,82000000,518736,595603.97,8000,50608,58107.26,142,6.8,6.7,3,1,2,5,37,0,0
1971,Diamonds Are Forever,Sean Connery,Guy Hamilton,John Barry,Richard Maibaum & Tom Mankiewicz,Ted Moore,"Japan, Egypt, France, South Africa, Great Britain, Netherlands, United States, Mexico","England, France, Germany, Netherlands, United States",Ford,American,43800000,251083,288289.29,116000000,664969,763506.2466,7200,41274,47390.11,120,6.7,6.3,1,0,1,7,42,1,0
1973,Live and Let Die,Roger Moore,Guy Hamilton,George Martin,Tom Mankiewicz,Ted Moore,"United States, Great Britain, Jamaica","England, United States, Jamaica",AMC,"English, American, English",35400000,185105,212534.45,161800000,846046,971415.8193,7000,36603,42026.95,121,6.8,5.9,3,0,1,8,5,1,1
1974,The Man with the Golden Gun,Roger Moore,Guy Hamilton,John Barry,Richard Maibaum & Tom Mankiewicz,Ted Moore,"Great Britain, Lebanon, Portugal, Thailand","England, Thailand, Hong Kong, Portugal",AMC,"Swedish, French",21000000,98894,113548.43,97600000,459623,527731.4154,7000,32965,37849.86,125,6.7,5.1,2,0,2,1,5,0,0
1977,The Spy Who Loved Me,Roger Moore,Lewis Gilbert,Marvin Hamlisch,Christopher Wood & Richard Maibaum,Claude Renoir,"Austria, Russia, Great Britain, Egypt, Italy","England, Switzerland, Canada, Scotland, Egypt, Italy, Malta, Bahamas, Japan",Lotus,"American, English, Bosnian",46800000,179297,205865.81,185400000,710290,815543.0583,14000,53636,61583.96,125,7.1,6.8,3,1,1,31,116,1,1
1979,Moonraker,Roger Moore,Lewis Gilbert,John Barry,Christopher Wood,Jean Tournier,"Great Britain, United States, Italy, Brazil, Russia","England, France, Italy, United States, Brazil, Guatemala",Lotus,"American, French, Moroccan",70300000,224811,258124.22,210300000,672514,772169.289,31000,99134,113824,126,6.2,5.7,3,1,1,12,69,0,0
1981,For Your Eyes Only,Roger Moore,John Glen,Bill Conti,Michael G. Wilson & Richard Maibaum,Alan Hume,"Great Britain, Russia, Spain, Italy, Greece, Albania","England, Italy, Malta, Greece",Citroën,"French, Australian",54800000,139964,160704.32,195300000,498812,572727.5676,28000,71514,82111.17,127,6.8,6.3,2,0,2,18,36,1,0
1983,Octopussy,Roger Moore,John Glen,John Barry,"George MacDonald Fraser, Michael G. Wilson & Richard Maibaum",Alan Hume,"Great Britain, India, Russia, Germany","England, West Berlin, India",Bajaj,"Sweedish, English",67900000,158274,181727.55,187500000,437059,501823.8093,27500,64102,73600.84,131,6.5,5.3,2,0,1,15,43,1,0
1985,A View to a Kill,Roger Moore,John Glen,John Barry,Michael G. Wilson & Richard Maibaum,Alan Hume,"Russia, Great Britain, France, United States","England, Switzerland, Iceland, France, United States",Rolls Royce,"American, Jamaican, Swedish, Nigerian",50327960,108592,124683.51,152627960,329322,378121.9939,30000,64730,74321.9,131,6.2,4.7,4,0,2,5,57,1,0
1987,The Living Daylights,Timothy Dalton,John Glen,John Barry,Michael G. Wilson & Richard Maibaum,Alec Mills,"Gibraltar, Great Britain, Slovakia, Austria, Morocco, Afghanistan, Pakistan","England, Germany, Austria, Italy, Morocco",Rolls Royce,"Dutch, American",51185000,104608,120109.15,191200000,390758,448661.7781,40000,81749,93862.83,130,6.7,6.3,2,2,1,13,29,0,0
1989,License to Kill,Timothy Dalton,John Glen,Michael Kamen,Michael G. Wilson & Richard Maibaum,Alec Mills,"United States, Bahamas, Great Britain","Mexico, United States",Aston Martin,"American, American",34667015,64907,74525.13,156167015,292392,335719.5876,42000,78637,90289.68,133,6.5,6,2,1,1,10,13,0,1
1995,GoldenEye,Pierce Brosnan,Martin Campbell,Éric Serra,"Michael France, Jeffrey Caine, Kevin Wade & Bruce Feirstein",Phil Méheux,"Russia, Monaco, France, England, United States, Cuba","England, France, Monaco, Switzerland, Russia, Puerto Rico",BMW,"Polish, Dutch",106429941,162135,186160.69,356429941,542985,623446.2649,60000,91404,104948.54,130,7.2,6.9,2,1,1,47,25,0,1
1997,Tomorrow Never Dies,Pierce Brosnan,Roger Spottiswoode,David Arnold,Bruce Feirstein,Robert Elswit,"Russia, England, Germany, Vietnam","England, France, Germany, Thailand",Aston Martin,"Malaysian, American, Danish",125304276,181254,208112.8,339504276,491098,563870.4822,110000,159117,182695.47,119,6.4,6,3,1,1,30,24,0,1
